sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH	fastq1	fastq2	sample_fqrunid	donor_id
6712STDY11536165	CATD0141a	CATD0141a	ERS9016055	ERP133245	Felis catus	344fe00bfbad24346f74cb40cc772c06	44050	1	1	37	51531725	46839764	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#37.cram	/seq/illumina/runs/44/44050/lane1/plex37/44050_1#37.cram	/seq/illumina/runs/44/44050/lane1/plex37/44050_1#37.substitution_metrics.txt	0.42	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536165_44050_1#37_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536165_44050_1#37_R2.fastq.gz	6712STDY11536165_44050_1#37	CATD01
6712STDY11536165	CATD0141a	CATD0141a	ERS9016055	ERP133245	Felis catus	852159587b7107538d058dde64d8cdb5	44050	2	1	37	51531725	46985732	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#37.cram	/seq/illumina/runs/44/44050/lane2/plex37/44050_2#37.cram	/seq/illumina/runs/44/44050/lane2/plex37/44050_2#37.substitution_metrics.txt	0.41	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536165_44050_2#37_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536165_44050_2#37_R2.fastq.gz	6712STDY11536165_44050_2#37	CATD01
6712STDY11536166	CATD0141b	CATD0141b	ERS9016056	ERP133245	Felis catus	b2fca523f6db7ec0008101e1889a33d3	44050	1	1	47	51531785	38284420	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#47.cram	/seq/illumina/runs/44/44050/lane1/plex47/44050_1#47.cram	/seq/illumina/runs/44/44050/lane1/plex47/44050_1#47.substitution_metrics.txt	0.48	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536166_44050_1#47_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536166_44050_1#47_R2.fastq.gz	6712STDY11536166_44050_1#47	CATD01
6712STDY11536166	CATD0141b	CATD0141b	ERS9016056	ERP133245	Felis catus	2151f61eb5d626423eafb634b4702d8b	44050	2	1	47	51531785	38081868	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#47.cram	/seq/illumina/runs/44/44050/lane2/plex47/44050_2#47.cram	/seq/illumina/runs/44/44050/lane2/plex47/44050_2#47.substitution_metrics.txt	0.47	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536166_44050_2#47_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536166_44050_2#47_R2.fastq.gz	6712STDY11536166_44050_2#47	CATD01
6712STDY11536167	CATD0142a	CATD0142a	ERS9016057	ERP133245	Felis catus	df93011c420fa455a3c27512a73a4b57	44050	1	1	92	51531764	43388988	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#92.cram	/seq/illumina/runs/44/44050/lane1/plex92/44050_1#92.cram	/seq/illumina/runs/44/44050/lane1/plex92/44050_1#92.substitution_metrics.txt	0.47	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536167_44050_1#92_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536167_44050_1#92_R2.fastq.gz	6712STDY11536167_44050_1#92	CATD01
6712STDY11536167	CATD0142a	CATD0142a	ERS9016057	ERP133245	Felis catus	45ef55caf75e98840589dbb607c13461	44050	2	1	92	51531764	43247880	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#92.cram	/seq/illumina/runs/44/44050/lane2/plex92/44050_2#92.cram	/seq/illumina/runs/44/44050/lane2/plex92/44050_2#92.substitution_metrics.txt	0.46	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536167_44050_2#92_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536167_44050_2#92_R2.fastq.gz	6712STDY11536167_44050_2#92	CATD01
6712STDY11536168	CATD0142b	CATD0142b	ERS9016058	ERP133245	Felis catus	c1d0ab5e47ab9d0502a57ab8f96b1be7	44050	1	1	32	51531784	57880846	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#32.cram	/seq/illumina/runs/44/44050/lane1/plex32/44050_1#32.cram	/seq/illumina/runs/44/44050/lane1/plex32/44050_1#32.substitution_metrics.txt	0.49	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536168_44050_1#32_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536168_44050_1#32_R2.fastq.gz	6712STDY11536168_44050_1#32	CATD01
6712STDY11536168	CATD0142b	CATD0142b	ERS9016058	ERP133245	Felis catus	20e5f47571da92e0952179e956e7382d	44050	2	1	32	51531784	57203212	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#32.cram	/seq/illumina/runs/44/44050/lane2/plex32/44050_2#32.cram	/seq/illumina/runs/44/44050/lane2/plex32/44050_2#32.substitution_metrics.txt	0.48	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536168_44050_2#32_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536168_44050_2#32_R2.fastq.gz	6712STDY11536168_44050_2#32	CATD01
6712STDY11536169	CATD0143a	CATD0143a	ERS9016059	ERP133245	Felis catus	4b60ef97381783fd1941fa4671ee3196	44050	1	1	66	51531703	47795052	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#66.cram	/seq/illumina/runs/44/44050/lane1/plex66/44050_1#66.cram	/seq/illumina/runs/44/44050/lane1/plex66/44050_1#66.substitution_metrics.txt	0.49	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536169_44050_1#66_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536169_44050_1#66_R2.fastq.gz	6712STDY11536169_44050_1#66	CATD01
6712STDY11536169	CATD0143a	CATD0143a	ERS9016059	ERP133245	Felis catus	0d1a1d4b47c7039d01afd4940252b691	44050	2	1	66	51531703	47557424	6712	FUR: Feline oral squamous cell carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#66.cram	/seq/illumina/runs/44/44050/lane2/plex66/44050_2#66.cram	/seq/illumina/runs/44/44050/lane2/plex66/44050_2#66.substitution_metrics.txt	0.48	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536169_44050_2#66_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6712_2822/fastqs/6712STDY11536169_44050_2#66_R2.fastq.gz	6712STDY11536169_44050_2#66	CATD01
