sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH
6713STDY11554089	CATD0161a	CATD0161a	ERS9016109	ERP133248	Felis catus	420f9e94944ba2fa9df606645cf33726	44050	1	1	116	51585478	34194292	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#116.cram	/seq/illumina/runs/44/44050/lane1/plex116/44050_1#116.cram	/seq/illumina/runs/44/44050/lane1/plex116/44050_1#116.substitution_metrics.txt	0.61
6713STDY11554089	CATD0161a	CATD0161a	ERS9016109	ERP133248	Felis catus	72fb8bfad2db40a2e9f06836eee41d70	44050	2	1	116	51585478	33979676	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#116.cram	/seq/illumina/runs/44/44050/lane2/plex116/44050_2#116.cram	/seq/illumina/runs/44/44050/lane2/plex116/44050_2#116.substitution_metrics.txt	0.6
6713STDY11554090	CATD0161b	CATD0161b	ERS9016110	ERP133248	Felis catus	7c0120df78b66c843ee137169530e9b9	44050	1	1	1	51585459	32994236	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#1.cram	/seq/illumina/runs/44/44050/lane1/plex1/44050_1#1.cram	/seq/illumina/runs/44/44050/lane1/plex1/44050_1#1.substitution_metrics.txt	0.6
6713STDY11554090	CATD0161b	CATD0161b	ERS9016110	ERP133248	Felis catus	12f9b5eff0d7118566804afded4428a8	44050	2	1	1	51585459	32849296	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#1.cram	/seq/illumina/runs/44/44050/lane2/plex1/44050_2#1.cram	/seq/illumina/runs/44/44050/lane2/plex1/44050_2#1.substitution_metrics.txt	0.59
6713STDY11554091	CATD0162a	CATD0162a	ERS9016111	ERP133248	Felis catus	742c7471ed1f2f8610e2e8a066de4e07	44050	1	1	138	51585527	42311954	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#138.cram	/seq/illumina/runs/44/44050/lane1/plex138/44050_1#138.cram	/seq/illumina/runs/44/44050/lane1/plex138/44050_1#138.substitution_metrics.txt	0.62
6713STDY11554091	CATD0162a	CATD0162a	ERS9016111	ERP133248	Felis catus	f9cca8a66d07be128732552cfbe79aa6	44050	2	1	138	51585527	41412952	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#138.cram	/seq/illumina/runs/44/44050/lane2/plex138/44050_2#138.cram	/seq/illumina/runs/44/44050/lane2/plex138/44050_2#138.substitution_metrics.txt	0.61
6713STDY11554092	CATD0162b	CATD0162b	ERS9016112	ERP133248	Felis catus	b66f668b8ff97eb0380c2a935013b648	44050	1	1	143	51585492	22384450	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#143.cram	/seq/illumina/runs/44/44050/lane1/plex143/44050_1#143.cram	/seq/illumina/runs/44/44050/lane1/plex143/44050_1#143.substitution_metrics.txt	0.81
6713STDY11554092	CATD0162b	CATD0162b	ERS9016112	ERP133248	Felis catus	240c292e8d93b6bae7e06ba97ff6b127	44050	2	1	143	51585492	22238610	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#143.cram	/seq/illumina/runs/44/44050/lane2/plex143/44050_2#143.cram	/seq/illumina/runs/44/44050/lane2/plex143/44050_2#143.substitution_metrics.txt	0.81
6713STDY11554093	CATD0163a	CATD0163a	ERS9016114	ERP133248	Felis catus	9d2b2a0da9a80a3539fdd01f250aff7f	44050	1	1	137	51585515	42926954	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_1#137.cram	/seq/illumina/runs/44/44050/lane1/plex137/44050_1#137.cram	/seq/illumina/runs/44/44050/lane1/plex137/44050_1#137.substitution_metrics.txt	0.63
6713STDY11554093	CATD0163a	CATD0163a	ERS9016114	ERP133248	Felis catus	927f5dfe9fb9ad7f81a2282c8a16249a	44050	2	1	137	51585515	42322832	6713	FUR: Feline mast cell tumour_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	44050_2#137.cram	/seq/illumina/runs/44/44050/lane2/plex137/44050_2#137.cram	/seq/illumina/runs/44/44050/lane2/plex137/44050_2#137.substitution_metrics.txt	0.62
