file_id.x	sample_id	cohort	pct	n_fragments_clade	n_fragments_taxon	tax.level	n_distinct_minimisers	rank	ncbi	name	file_id.y	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	reads	pct_fragments_clade	n_minimisers_clade	n_minimisers_taxon	ncbi_id	ratio_taxon	ratio_clade	proportion	total_read	expected_clade	std_clade	pvalue	padj	significance
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	1.02	533	533	21052	17613	S	9606	Homo sapiens	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo_sapiens	533	2.95	817705001	817705001	9606	2.153955274635773e-5	2.153955274635773e-5	0.03481320166957445	52147	1815.404027463299	41.85933588751094	0	0	Significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0.05	26	25	526	501	S	817	Bacteroides fragilis	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis	NA	26	0.02	4315064	4110422	817	1.2188529547574434e-4	1.1610488280127479e-4	1.837107429518101e-4	52147	9.57996411270804	3.094867391405235	0	0	Significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0	1	1	30	29	S	562	Escherichia coli	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	NA	1	0.08	20886347	19949202	562	1.4536922329023486e-6	1.3884668295513812e-6	8.892211853449473e-4	52147	46.37021715218297	6.806539779706147	0.994644510641414	1	Non-significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0	1	1	6	6	S	237610	Pseudomonas psychrotolerans	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_psychrotolerans	NA	1	0.01	3736129	3736129	237610	1.6059402659811799e-6	1.6059402659811799e-6	1.5906300216029316e-4	52147	8.294658373652808	2.8798157927877956	0.787218535433814	0.8643216495645069	Non-significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0	1	1	12	12	S	339	Xanthomonas campestris	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas_campestris	NA	1	0.02	6757978	3242021	339	3.7013949015135928e-6	1.7756790566645823e-6	2.877160476025356e-4	52147	15.003528734329425	3.8728816117126397	0.7809861826488351	0.8579431318865655	Non-significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0	1	1	5	5	S	2500532	Paracoccus sp. Arc7-R13	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus_sp._Arc7-R13	NA	1	0	398648	398648	2500532	1.2542393289317894e-5	1.2542393289317894e-5	1.6972151573245077e-5	52147	0.885046788090011	0.9407612698988911	6.097634657020359e-6	1.1268628384503343e-5	Significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0.01	5	5	63	63	S	1280	Staphylococcus aureus	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	NA	5	0.02	4736617	4627964	1280	1.3612897593844723e-5	1.3300632075593193e-5	2.0165805840844397e-4	52147	10.515862771825129	3.242490117695977	3.1467879860924157e-59	1.538513933441328e-58	Significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0	1	1	22	22	S	147802	Lactobacillus iners	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_iners	NA	1	0	705886	705886	147802	3.116650563972086e-5	3.116650563972086e-5	3.005258821173485e-5	52147	1.5671523174773372	1.2518407328786179	3.428502468345041e-60	1.6843659826324667e-59	Significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0	1	1	23	23	S	1547	Thomasclavelia ramosa	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia_ramosa	NA	1	0	1382294	1381278	1547	1.665124616478363e-5	1.6639007331291317e-5	5.885017179764411e-5	52147	3.0688599087317474	1.7517646262551643	2.6987137474004876e-30	9.623357106283989e-30	Significant
/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/kraken2/CATD0572a_0.1.kraken	CATD0572a	6982_3135	0.01	3	3	42	42	S	1747	Cutibacterium acnes	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6982_3135/results/krakentools/CATD0572a.kraken.mpa	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium_acnes	NA	3	0	1372586	1299736	1747	3.231425458708538e-5	3.059917557078391e-5	5.8436860687408857e-5	52147	3.0473069742663097	1.7456027323572747	1.3285454713274969e-110	8.094951235205679e-110	Significant
