sample_id	cohort
CATD0467a	6990_3065
CATD0467b	6990_3065
CATD0468a	6990_3065
CATD0468b	6990_3065
CATD0469a	6990_3065
CATD0469b	6990_3065
CATD0470a	6990_3065
CATD0470b	6990_3065
CATD0471a	6990_3065
CATD0471b	6990_3065
CATD0472a	6990_3065
CATD0472b	6990_3065
CATD0473a	6990_3065
CATD0473b	6990_3065
CATD0474a	6990_3065
CATD0474b	6990_3065
CATD0475a	6990_3065
CATD0475b	6990_3065
CATD0476a	6990_3065
CATD0476b	6990_3065
CATD0477a	6990_3065
CATD0477b	6990_3065
CATD0478a	6990_3065
CATD0478b	6990_3065
CATD0479a	6990_3065
CATD0479b	6990_3065
CATD0480a	6990_3065
CATD0480b	6990_3065
CATD0481a	6990_3065
CATD0481b	6990_3065
CATD0482a	6990_3065
CATD0482b	6990_3065
CATD0483a	6990_3065
CATD0483b	6990_3065
CATD0484a	6990_3065
CATD0484b	6990_3065
CATD0485a	6990_3065
CATD0485b	6990_3065
CATD0486a	6990_3065
CATD0486b	6990_3065
CATD0487a	6990_3065
CATD0487b	6990_3065
CATD0488a	6990_3065
CATD0488b	6990_3065
CATD0489a	6990_3065
CATD0489b	6990_3065
CATD0490a	6990_3065
CATD0490b	6990_3065
CATD0491a	6990_3065
CATD0491b	6990_3065
CATD0492a	6990_3065
CATD0492b	6990_3065
CATD0493a	6990_3065
CATD0493b	6990_3065
CATD0494a	6990_3065
CATD0494b	6990_3065
CATD0495a	6990_3065
CATD0495b	6990_3065
CATD0496a	6990_3065
CATD0496b	6990_3065
CATD0497a	6990_3065
CATD0497b	6990_3065
CATD0498a	6990_3065
CATD0498b	6990_3065
CATD0499a	6990_3065
CATD0499b	6990_3065
CATD0500a	6990_3065
CATD0500b	6990_3065
CATD0501a	6990_3065
CATD0501b	6990_3065
CATD0502a	6990_3065
CATD0502b	6990_3065
CATD0503a	6990_3065
CATD0503b	6990_3065
CATD0504a	6990_3065
CATD0504b	6990_3065
CATD0505a	6990_3065
CATD0505b	6990_3065
CATD0506a	6990_3065
CATD0506b	6990_3065
CATD0507a	6990_3065
CATD0507b	6990_3065
CATD0688a	6990_3065
CATD0688b	6990_3065
CATD0689a	6990_3065
CATD0689b	6990_3065
CATD0690a	6990_3065
CATD0690b	6990_3065
CATD0691a	6990_3065
CATD0691b	6990_3065
CATD0692a	6990_3065
CATD0692b	6990_3065
CATD0693a	6990_3065
CATD0693b	6990_3065
CATD0694a	6990_3065
CATD0694b	6990_3065
CATD0695a	6990_3065
CATD0695b	6990_3065
CATD0696a	6990_3065
CATD0696b	6990_3065
CATD0697a	6990_3065
CATD0697b	6990_3065
CATD0698a	6990_3065
CATD0698b	6990_3065
CATD0699a	6990_3065
CATD0699b	6990_3065
CATD0700a	6990_3065
CATD0700b	6990_3065
CATD0701a	6990_3065
CATD0701b	6990_3065
CATD0702a	6990_3065
CATD0702b	6990_3065
CATD0737a	6990_3065
CATD0737b	6990_3065
CATD0738a	6990_3065
CATD0738b	6990_3065
CATD0739a	6990_3065
CATD0739b	6990_3065
CATD0740a	6990_3065
CATD0740b	6990_3065
CATD0741a	6990_3065
CATD0741b	6990_3065
CATD0742a	6990_3065
CATD0742b	6990_3065
CATD0743a	6990_3065
CATD0743b	6990_3065
CATD0744a	6990_3065
CATD0744b	6990_3065
CATD0745a	6990_3065
CATD0745b	6990_3065
CATD0746a	6990_3065
CATD0746b	6990_3065
